,index,age_upon_intake,animal_id,animal_type,breed,color,datetime,datetime2,found_location,intake_condition,intake_type,name,sex_upon_intake,lat,long,zipcode,age_upon_outcome,date_of_birth,outcome_datetime,outcome_subtype,outcome_type,sex_upon_outcome,HouseholdIncome
67,76,2 years,A789766,Cat,Domestic Shorthair/Bengal,Brown Tabby,2019-02-27T11:44:00.000,2019-02-27T11:44:00.000,Austin (TX),Normal,Owner Surrender,Calles,Neutered Male,30.267153,-97.7430608,78702,,,,,,,"$23,348.00"
68,77,2 years,A788277,Dog,Pit Bull Mix,Black/White,2019-01-29T17:27:00.000,2019-01-29T17:27:00.000,Blue Bluff Road And Sail Side Street in Austin (TX),Injured,Stray,*Jazz,Intact Female,30.2828544,-97.6083845,78724,2 years,2017-01-29T00:00:00.000,2019-03-03T19:13:00.000,,Adoption,Spayed Female,"$36,641.00"
69,78,3 years,A721033,Dog,Rat Terrier Mix,Tricolor/Brown Brindle,2019-02-24T21:53:00.000,2019-02-24T21:53:00.000,700 Allen St in Austin (TX),Normal,Public Assist,Lil Bit,Neutered Male,30.2578042,-97.704384,78702,3 years,2015-05-20T00:00:00.000,2019-02-12T15:20:00.000,,Return to Owner,Neutered Male,"$23,348.00"
70,78,3 years,A721033,Dog,Rat Terrier Mix,Tricolor/Brown Brindle,2019-02-24T21:53:00.000,2019-02-24T21:53:00.000,700 Allen St in Austin (TX),Normal,Public Assist,Lil Bit,Neutered Male,30.2578042,-97.704384,78702,3 years,2015-05-20T00:00:00.000,2019-02-18T16:46:00.000,,Return to Owner,Neutered Male,"$23,348.00"
71,78,3 years,A721033,Dog,Rat Terrier Mix,Tricolor/Brown Brindle,2019-02-24T21:53:00.000,2019-02-24T21:53:00.000,700 Allen St in Austin (TX),Normal,Public Assist,Lil Bit,Neutered Male,30.2578042,-97.704384,78702,3 years,2015-05-20T00:00:00.000,2019-02-26T19:00:00.000,,Return to Owner,Neutered Male,"$23,348.00"
72,78,3 years,A721033,Dog,Rat Terrier Mix,Tricolor/Brown Brindle,2019-02-24T21:53:00.000,2019-02-24T21:53:00.000,700 Allen St in Austin (TX),Normal,Public Assist,Lil Bit,Neutered Male,30.2578042,-97.704384,78702,3 years,2015-05-20T00:00:00.000,2019-03-11T16:27:00.000,,Return to Owner,Neutered Male,"$23,348.00"
73,79,9 months,A788163,Dog,Labrador Retriever Mix,Black/White,2019-01-27T16:10:00.000,2019-01-27T16:10:00.000,4500 Steiner Ranch Road in Austin (TX),Normal,Stray,*Millie,Spayed Female,30.383677,-97.88141399999999,78732,10 months,2018-04-27T00:00:00.000,2019-02-26T17:49:00.000,,Adoption,Spayed Female,"$103,951.00"
74,81,8 months,A781970,Dog,Pit Bull Mix,Brown Brindle/White,2019-01-16T10:25:00.000,2019-01-16T10:25:00.000,Austin (TX),Normal,Stray,Dream,Spayed Female,30.267153,-97.7430608,78702,8 months,2018-04-29T00:00:00.000,2019-01-20T16:16:00.000,,Adoption,Spayed Female,"$23,348.00"
75,82,2 years,A787777,Other,Hamster,Gray/White,2019-01-19T16:03:00.000,2019-01-19T16:03:00.000,5400 Friedrich Ln in Austin (TX),Other,Owner Surrender,,Unknown,30.2000489,-97.75682719999999,78744,2 years,2017-01-19T00:00:00.000,2019-03-06T09:06:00.000,,Disposal,Unknown,"$38,256.00"
76,83,5 years,A764756,Dog,Beagle Mix,Red/White,2019-01-02T09:46:00.000,2019-01-02T09:46:00.000,Austin (TX),Normal,Stray,Paloma,Spayed Female,30.267153,-97.7430608,78702,5 years,2013-01-05T00:00:00.000,2019-01-02T16:18:00.000,,Return to Owner,Spayed Female,"$23,348.00"
77,83,5 years,A764756,Dog,Beagle Mix,Red/White,2019-01-02T09:46:00.000,2019-01-02T09:46:00.000,Austin (TX),Normal,Stray,Paloma,Spayed Female,30.267153,-97.7430608,78702,6 years,2013-01-05T00:00:00.000,2019-04-01T18:19:00.000,,Return to Owner,Spayed Female,"$23,348.00"
78,84,1 year,A789253,Dog,Great Pyrenees/Chow Chow,White/Fawn,2019-02-18T13:38:00.000,2019-02-18T13:38:00.000,Austin (TX),Normal,Owner Surrender,Rayo,Neutered Male,30.267153,-97.7430608,78702,1 year,2018-02-18T00:00:00.000,2019-02-20T14:21:00.000,,Adoption,Neutered Male,"$23,348.00"
