,breed,animal_type,Date,ave_hsIncome,breed_cumsum
3955,Australian_Kelpie_Mix,Dog,03-03,0.0,0.0
4022,Australian_Kelpie_Mix,Dog,03-07,0.0,0.0
4089,Australian_Kelpie_Mix,Dog,03-30,0.0,0.0
3,Basenji_Mix,Dog,01-01,0.0,0.0
70,Basenji_Mix,Dog,01-02,0.0,0.0
137,Basenji_Mix,Dog,01-03,0.0,0.0
204,Basenji_Mix,Dog,01-04,0.0,0.0
271,Basenji_Mix,Dog,01-05,0.0,0.0
338,Basenji_Mix,Dog,01-06,0.0,0.0
405,Basenji_Mix,Dog,01-07,0.0,0.0
472,Basenji_Mix,Dog,01-08,0.0,0.0
539,Basenji_Mix,Dog,01-09,0.0,0.0
606,Basenji_Mix,Dog,01-10,0.0,0.0
673,Basenji_Mix,Dog,01-11,0.0,0.0
740,Basenji_Mix,Dog,01-12,0.0,0.0
807,Basenji_Mix,Dog,01-13,0.0,0.0
874,Basenji_Mix,Dog,01-14,0.0,0.0
941,Basenji_Mix,Dog,01-15,0.0,0.0
1008,Basenji_Mix,Dog,01-16,0.0,0.0
1075,Basenji_Mix,Dog,01-17,0.0,0.0
1142,Basenji_Mix,Dog,01-19,47076.0,1.0
1209,Basenji_Mix,Dog,01-20,0.0,0.0
1276,Basenji_Mix,Dog,01-21,0.0,0.0
1343,Basenji_Mix,Dog,01-22,0.0,0.0
1410,Basenji_Mix,Dog,01-23,0.0,0.0
1477,Basenji_Mix,Dog,01-24,0.0,0.0
1544,Basenji_Mix,Dog,01-25,0.0,0.0
1611,Basenji_Mix,Dog,01-26,0.0,0.0
1678,Basenji_Mix,Dog,01-27,0.0,0.0
1745,Basenji_Mix,Dog,01-28,0.0,0.0
1812,Basenji_Mix,Dog,01-29,0.0,0.0
1879,Basenji_Mix,Dog,01-30,0.0,0.0
1946,Basenji_Mix,Dog,01-31,0.0,0.0
2013,Basenji_Mix,Dog,02-01,0.0,0.0
2080,Basenji_Mix,Dog,02-02,0.0,0.0
2147,Basenji_Mix,Dog,02-03,0.0,0.0
2214,Basenji_Mix,Dog,02-04,0.0,0.0
2281,Basenji_Mix,Dog,02-05,0.0,0.0
2348,Basenji_Mix,Dog,02-06,0.0,0.0
2415,Basenji_Mix,Dog,02-07,0.0,0.0
2482,Basenji_Mix,Dog,02-08,0.0,0.0
2549,Basenji_Mix,Dog,02-09,0.0,0.0
2616,Basenji_Mix,Dog,02-10,0.0,0.0
2683,Basenji_Mix,Dog,02-11,0.0,0.0
2750,Basenji_Mix,Dog,02-12,0.0,0.0
2817,Basenji_Mix,Dog,02-13,0.0,0.0
2884,Basenji_Mix,Dog,02-14,0.0,0.0
2951,Basenji_Mix,Dog,02-15,0.0,0.0
3018,Basenji_Mix,Dog,02-16,0.0,0.0
3085,Basenji_Mix,Dog,02-17,0.0,0.0
3152,Basenji_Mix,Dog,02-18,0.0,0.0
3219,Basenji_Mix,Dog,02-19,0.0,0.0
3286,Basenji_Mix,Dog,02-20,0.0,0.0
3353,Basenji_Mix,Dog,02-21,0.0,0.0
3420,Basenji_Mix,Dog,02-22,0.0,0.0
3487,Basenji_Mix,Dog,02-23,0.0,0.0
3554,Basenji_Mix,Dog,02-24,0.0,0.0
3621,Basenji_Mix,Dog,02-25,0.0,0.0
3688,Basenji_Mix,Dog,02-26,0.0,0.0
3755,Basenji_Mix,Dog,02-27,0.0,0.0
3822,Basenji_Mix,Dog,03-01,0.0,0.0
3889,Basenji_Mix,Dog,03-02,0.0,0.0
3956,Basenji_Mix,Dog,03-03,0.0,0.0
4023,Basenji_Mix,Dog,03-07,0.0,0.0
4090,Basenji_Mix,Dog,03-30,0.0,0.0
4,Basset_Hound/German_Shepherd,Dog,01-01,0.0,0.0
71,Basset_Hound/German_Shepherd,Dog,01-02,0.0,0.0
138,Basset_Hound/German_Shepherd,Dog,01-03,0.0,0.0
205,Basset_Hound/German_Shepherd,Dog,01-04,0.0,0.0
272,Basset_Hound/German_Shepherd,Dog,01-05,0.0,0.0
339,Basset_Hound/German_Shepherd,Dog,01-06,0.0,0.0
406,Basset_Hound/German_Shepherd,Dog,01-07,0.0,0.0
473,Basset_Hound/German_Shepherd,Dog,01-08,0.0,0.0
540,Basset_Hound/German_Shepherd,Dog,01-09,0.0,0.0
607,Basset_Hound/German_Shepherd,Dog,01-10,0.0,0.0
674,Basset_Hound/German_Shepherd,Dog,01-11,0.0,0.0
741,Basset_Hound/German_Shepherd,Dog,01-12,0.0,0.0
808,Basset_Hound/German_Shepherd,Dog,01-13,0.0,0.0
875,Basset_Hound/German_Shepherd,Dog,01-14,0.0,0.0
942,Basset_Hound/German_Shepherd,Dog,01-15,0.0,0.0
1009,Basset_Hound/German_Shepherd,Dog,01-16,0.0,0.0
1076,Basset_Hound/German_Shepherd,Dog,01-17,0.0,0.0
1143,Basset_Hound/German_Shepherd,Dog,01-19,0.0,0.0
1210,Basset_Hound/German_Shepherd,Dog,01-20,0.0,0.0
1277,Basset_Hound/German_Shepherd,Dog,01-21,0.0,0.0
1344,Basset_Hound/German_Shepherd,Dog,01-22,0.0,0.0
1411,Basset_Hound/German_Shepherd,Dog,01-23,0.0,0.0
1478,Basset_Hound/German_Shepherd,Dog,01-24,0.0,0.0
1545,Basset_Hound/German_Shepherd,Dog,01-25,0.0,0.0
1612,Basset_Hound/German_Shepherd,Dog,01-26,0.0,0.0
1679,Basset_Hound/German_Shepherd,Dog,01-27,0.0,0.0
1746,Basset_Hound/German_Shepherd,Dog,01-28,0.0,0.0
1813,Basset_Hound/German_Shepherd,Dog,01-29,0.0,0.0
1880,Basset_Hound/German_Shepherd,Dog,01-30,0.0,0.0
1947,Basset_Hound/German_Shepherd,Dog,01-31,0.0,0.0
2014,Basset_Hound/German_Shepherd,Dog,02-01,0.0,0.0
2081,Basset_Hound/German_Shepherd,Dog,02-02,0.0,0.0
2148,Basset_Hound/German_Shepherd,Dog,02-03,0.0,0.0
2215,Basset_Hound/German_Shepherd,Dog,02-04,0.0,0.0
2282,Basset_Hound/German_Shepherd,Dog,02-05,0.0,0.0
2349,Basset_Hound/German_Shepherd,Dog,02-06,0.0,0.0
2416,Basset_Hound/German_Shepherd,Dog,02-07,0.0,0.0
2483,Basset_Hound/German_Shepherd,Dog,02-08,57710.0,1.0
2550,Basset_Hound/German_Shepherd,Dog,02-09,0.0,0.0
2617,Basset_Hound/German_Shepherd,Dog,02-10,0.0,0.0
2684,Basset_Hound/German_Shepherd,Dog,02-11,0.0,0.0
2751,Basset_Hound/German_Shepherd,Dog,02-12,0.0,0.0
2818,Basset_Hound/German_Shepherd,Dog,02-13,0.0,0.0
2885,Basset_Hound/German_Shepherd,Dog,02-14,0.0,0.0
2952,Basset_Hound/German_Shepherd,Dog,02-15,0.0,0.0
3019,Basset_Hound/German_Shepherd,Dog,02-16,0.0,0.0
3086,Basset_Hound/German_Shepherd,Dog,02-17,0.0,0.0
3153,Basset_Hound/German_Shepherd,Dog,02-18,0.0,0.0
3220,Basset_Hound/German_Shepherd,Dog,02-19,0.0,0.0
3287,Basset_Hound/German_Shepherd,Dog,02-20,0.0,0.0
3354,Basset_Hound/German_Shepherd,Dog,02-21,0.0,0.0
3421,Basset_Hound/German_Shepherd,Dog,02-22,0.0,0.0
3488,Basset_Hound/German_Shepherd,Dog,02-23,0.0,0.0
3555,Basset_Hound/German_Shepherd,Dog,02-24,0.0,0.0
3622,Basset_Hound/German_Shepherd,Dog,02-25,0.0,0.0
3689,Basset_Hound/German_Shepherd,Dog,02-26,0.0,0.0
3756,Basset_Hound/German_Shepherd,Dog,02-27,0.0,0.0
3823,Basset_Hound/German_Shepherd,Dog,03-01,0.0,0.0
3890,Basset_Hound/German_Shepherd,Dog,03-02,0.0,0.0
3957,Basset_Hound/German_Shepherd,Dog,03-03,0.0,0.0
4024,Basset_Hound/German_Shepherd,Dog,03-07,0.0,0.0
4091,Basset_Hound/German_Shepherd,Dog,03-30,0.0,0.0
5,Bat_Mix,Other,01-01,0.0,0.0
72,Bat_Mix,Other,01-02,0.0,0.0
139,Bat_Mix,Other,01-03,0.0,0.0
206,Bat_Mix,Other,01-04,0.0,0.0
273,Bat_Mix,Other,01-05,0.0,0.0
340,Bat_Mix,Other,01-06,0.0,0.0
407,Bat_Mix,Other,01-07,0.0,0.0
474,Bat_Mix,Other,01-08,0.0,0.0
541,Bat_Mix,Other,01-09,0.0,0.0
608,Bat_Mix,Other,01-10,0.0,0.0
675,Bat_Mix,Other,01-11,0.0,0.0
742,Bat_Mix,Other,01-12,0.0,0.0
809,Bat_Mix,Other,01-13,0.0,0.0
876,Bat_Mix,Other,01-14,0.0,0.0
943,Bat_Mix,Other,01-15,0.0,0.0
1010,Bat_Mix,Other,01-16,0.0,0.0
1077,Bat_Mix,Other,01-17,0.0,0.0
1144,Bat_Mix,Other,01-19,0.0,0.0
1211,Bat_Mix,Other,01-20,0.0,0.0
1278,Bat_Mix,Other,01-21,0.0,0.0
1345,Bat_Mix,Other,01-22,25369.0,1.0
1412,Bat_Mix,Other,01-23,0.0,0.0
1479,Bat_Mix,Other,01-24,0.0,0.0
1546,Bat_Mix,Other,01-25,0.0,0.0
1613,Bat_Mix,Other,01-26,0.0,0.0
1680,Bat_Mix,Other,01-27,0.0,0.0
1747,Bat_Mix,Other,01-28,0.0,0.0
1814,Bat_Mix,Other,01-29,0.0,0.0
1881,Bat_Mix,Other,01-30,0.0,0.0
1948,Bat_Mix,Other,01-31,0.0,0.0
2015,Bat_Mix,Other,02-01,0.0,0.0
2082,Bat_Mix,Other,02-02,0.0,0.0
2149,Bat_Mix,Other,02-03,0.0,0.0
2216,Bat_Mix,Other,02-04,0.0,0.0
2283,Bat_Mix,Other,02-05,0.0,0.0
2350,Bat_Mix,Other,02-06,36641.0,2.0
2417,Bat_Mix,Other,02-07,0.0,0.0
2484,Bat_Mix,Other,02-08,0.0,0.0
2551,Bat_Mix,Other,02-09,0.0,0.0
2618,Bat_Mix,Other,02-10,0.0,0.0
2685,Bat_Mix,Other,02-11,0.0,0.0
2752,Bat_Mix,Other,02-12,0.0,0.0
2819,Bat_Mix,Other,02-13,0.0,0.0
2886,Bat_Mix,Other,02-14,0.0,0.0
2953,Bat_Mix,Other,02-15,0.0,0.0
3020,Bat_Mix,Other,02-16,0.0,0.0
3087,Bat_Mix,Other,02-17,0.0,0.0
3154,Bat_Mix,Other,02-18,0.0,0.0
3221,Bat_Mix,Other,02-19,0.0,0.0
3288,Bat_Mix,Other,02-20,0.0,0.0
3355,Bat_Mix,Other,02-21,0.0,0.0
3422,Bat_Mix,Other,02-22,23348.0,3.0
3489,Bat_Mix,Other,02-23,0.0,0.0
3556,Bat_Mix,Other,02-24,0.0,0.0
3623,Bat_Mix,Other,02-25,0.0,0.0
3690,Bat_Mix,Other,02-26,0.0,0.0
3757,Bat_Mix,Other,02-27,0.0,0.0
3824,Bat_Mix,Other,03-01,0.0,0.0
3891,Bat_Mix,Other,03-02,0.0,0.0
3958,Bat_Mix,Other,03-03,0.0,0.0
4025,Bat_Mix,Other,03-07,0.0,0.0
4092,Bat_Mix,Other,03-30,0.0,0.0
6,Beagle,Dog,01-01,0.0,0.0
73,Beagle,Dog,01-02,0.0,0.0
140,Beagle,Dog,01-03,0.0,0.0
207,Beagle,Dog,01-04,0.0,0.0
274,Beagle,Dog,01-05,57710.0,1.0
341,Beagle,Dog,01-06,0.0,0.0
408,Beagle,Dog,01-07,0.0,0.0
475,Beagle,Dog,01-08,0.0,0.0
542,Beagle,Dog,01-09,0.0,0.0
609,Beagle,Dog,01-10,0.0,0.0
676,Beagle,Dog,01-11,0.0,0.0
743,Beagle,Dog,01-12,0.0,0.0
810,Beagle,Dog,01-13,0.0,0.0
877,Beagle,Dog,01-14,0.0,0.0
944,Beagle,Dog,01-15,0.0,0.0
1011,Beagle,Dog,01-16,0.0,0.0
1078,Beagle,Dog,01-17,0.0,0.0
1145,Beagle,Dog,01-19,0.0,0.0
1212,Beagle,Dog,01-20,0.0,0.0
1279,Beagle,Dog,01-21,0.0,0.0
1346,Beagle,Dog,01-22,0.0,0.0
1413,Beagle,Dog,01-23,0.0,0.0
1480,Beagle,Dog,01-24,0.0,0.0
1547,Beagle,Dog,01-25,0.0,0.0
1614,Beagle,Dog,01-26,0.0,0.0
1681,Beagle,Dog,01-27,0.0,0.0
1748,Beagle,Dog,01-28,0.0,0.0
1815,Beagle,Dog,01-29,0.0,0.0
1882,Beagle,Dog,01-30,0.0,0.0
1949,Beagle,Dog,01-31,0.0,0.0
2016,Beagle,Dog,02-01,0.0,0.0
2083,Beagle,Dog,02-02,0.0,0.0
2150,Beagle,Dog,02-03,0.0,0.0
2217,Beagle,Dog,02-04,0.0,0.0
2284,Beagle,Dog,02-05,0.0,0.0
2351,Beagle,Dog,02-06,0.0,0.0
2418,Beagle,Dog,02-07,0.0,0.0
2485,Beagle,Dog,02-08,0.0,0.0
2552,Beagle,Dog,02-09,0.0,0.0
2619,Beagle,Dog,02-10,0.0,0.0
2686,Beagle,Dog,02-11,0.0,0.0
2753,Beagle,Dog,02-12,0.0,0.0
2820,Beagle,Dog,02-13,0.0,0.0
2887,Beagle,Dog,02-14,0.0,0.0
2954,Beagle,Dog,02-15,0.0,0.0
3021,Beagle,Dog,02-16,0.0,0.0
3088,Beagle,Dog,02-17,0.0,0.0
3155,Beagle,Dog,02-18,0.0,0.0
3222,Beagle,Dog,02-19,0.0,0.0
3289,Beagle,Dog,02-20,0.0,0.0
3356,Beagle,Dog,02-21,0.0,0.0
3423,Beagle,Dog,02-22,0.0,0.0
3490,Beagle,Dog,02-23,0.0,0.0
3557,Beagle,Dog,02-24,0.0,0.0
3624,Beagle,Dog,02-25,0.0,0.0
3691,Beagle,Dog,02-26,0.0,0.0
3758,Beagle,Dog,02-27,0.0,0.0
3825,Beagle,Dog,03-01,0.0,0.0
3892,Beagle,Dog,03-02,0.0,0.0
3959,Beagle,Dog,03-03,0.0,0.0
